"-- Please select --","-- Please select --"
"1 Column","1 Column"
"2 Columns","2 Columns"
"3 Columns","3 Columns"
"3 Columns With Colspan","3 Columns With Colspan"
"Additional Content","Additional Content"
"Additional Information","Additional Information"
"Allow Guest Checkout","Allow Guest Checkout"
"Allow checking out as a guest. Guest can create an account in the checkout page.","Allow checking out as a guest. Guest can create an account in the checkout page."
"Allow customer comment in order.","Allow customer comment in order."
"Allow customers can billing to a different address from billing address.","Allow customers can billing to a different address from billing address."
"Black","Black"
"Blue","Blue"
"Can Show Billing Address","Can Show Billing Address"
"Capture+","Capture+"
"Capture+ Key","Capture+ Key"
"Capture+ by PCA Predict","Capture+ by PCA Predict"
"Checked Newsletter by default","Checked Newsletter by default"
"Checkout Page Layout","Checkout Page Layout"
"City","City"
"Could not remove item from quote","Could not remove item from quote"
"Could not update item from quote","Could not update item from quote"
"Country Id","Country Id"
"Custom","Custom"
"Custom Heading Background Color","Custom Heading Background Color"
"Dark Blue","Dark Blue"
"Default","Default"
"Default Payment Method","Default Payment Method"
"Default Shipping Method","Default Shipping Method"
"Design Configuration","Design Configuration"
"Discount Code Section","Discount Code Section"
"Display Configuration","Display Configuration"
"Enable One Step Checkout","Enable One Step Checkout"
"Enable Terms and Conditions","Enable Terms and Conditions"
"General Configuration","General Configuration"
"Google","Google"
"Google Api Key","Google Api Key"
"Green","Green"
"HTML allowed","HTML allowed"
"Heading Background Color","Heading Background Color"
"Heading Style","Heading Style"
"Heading Text Color","Heading Text Color"
"IP Country Lookup","IP Country Lookup"
"Newsletter Checkbox","Newsletter Checkbox"
"No","No"
"One Step Checkout","One Step Checkout"
"One Step Checkout Description","One Step Checkout Description"
"One Step Checkout Page Title","One Step Checkout Page Title"
"One step checkout is turned off.","One step checkout is turned off."
"Orange","Orange"
"Order Comment","Order Comment"
"Pink","Pink"
"Place Order button color","Place Order button color"
"Postcode","Postcode"
"Red","Red"
"Region ","Region "
"Region Id","Region Id"
"Restrict the auto suggestion for a specific country","Restrict the auto suggestion for a specific country"
"Set default payment method in the checkout process.","Set default payment method in the checkout process."
"Set default shipping method in the checkout process.","Set default shipping method in the checkout process."
"Show Discount Code box in Checkout page.","Show Discount Code box in Checkout page."
"Show Login Link","Show Login Link"
"Show Order Review Section","Show Order Review Section"
"Show Product Thumbnail Image","Show Product Thumbnail Image"
"Show Sign up newsletter selection","Show Sign up newsletter selection"
"Street","Street"
"Style 1","Style 1"
"Style 2","Style 2"
"Style 3","Style 3"
"The default country will be set based on location of the customer.","The default country will be set based on location of the customer."
"Use Auto Suggestion Technology","Use Auto Suggestion Technology"
"Violet","Violet"
"When customer fills address fields, it will suggest a list of full addresses.","When customer fills address fields, it will suggest a list of full addresses."
"You can disable Order Review Section. It is enabled by default.","You can disable Order Review Section. It is enabled by default."
